2020-11-16 10:24:34,786: 'h'
2020-11-16 10:24:34,896: 'e'
2020-11-16 10:24:34,989: 'y'
2020-11-16 10:24:35,255: Key.enter
2020-11-16 10:24:41,363: 'h'
2020-11-16 10:24:41,457: 'e'
2020-11-16 10:24:41,644: 'l'
2020-11-16 10:24:41,800: 'l'
2020-11-16 10:24:41,988: 'o'
2020-11-16 10:24:42,160: 'o'
2020-11-16 10:24:42,316: 'o'
2020-11-16 10:24:42,644: Key.space
2020-11-16 10:24:42,988: 'a'
2020-11-16 10:24:43,488: 'l'
2020-11-16 10:24:43,612: 'l'
2020-11-16 10:24:44,518: Key.enter
2020-11-16 10:25:02,244: Key.space
